客户ID,产品名称,反馈类型,反馈内容,满意度评分,反馈日期,状态,优先级
C001,汽车A型,投诉,车辆启动时有异响,2,2024/1/15 14:30,待处理,高
C002,汽车B型,建议,希望增加更多颜色选择,4,2024/1/15 16:45,已解决,中
C003,汽车C型,表扬,售后服务非常好,5,2024/1/15 18:20,已解决,低
C004,汽车A型,投诉,油耗比宣传的高,3,2024/1/16 9:15,处理中,中
C005,汽车B型,建议,建议增加自动泊车功能,4,2024/1/16 11:30,待处理,中
C006,汽车C型,投诉,导航系统经常卡顿,2,2024/1/16 13:45,处理中,高
C007,汽车A型,表扬,车辆操控性很好,5,2024/1/17 10:20,已解决,低
C008,汽车B型,建议,希望增加无线充电功能,4,2024/1/17 12:35,待处理,中
C009,汽车C型,投诉,空调制冷效果不好,3,2024/1/17 15:50,处理中,高
C010,汽车A型,表扬,性价比很高，推荐购买,5,2024/1/18 8:25,已解决,低 
